"","track_name","artist_names","peak_rank","weeks_on_chart","album"
"309","Wake Me Up","Avicii",13,50,0
"310","Raataan Lambiyan (From ""Shershaah"")","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur",161,1,0
"311","Remember","Becky Hill, David Guetta",162,2,0
"312","Se For Amor","João Gomes, Vitor Fernandes",154,4,0
"313","Fancy Like","Walker Hayes",166,4,0
"314","Bezos I","Bo Burnham",83,5,0
"315","Over The Top (feat. Drake)","Smiley, Drake",71,4,0
"316","A-O-K","Tai Verdes",173,1,0
"317","OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry, Jax Jones, Charli XCX, Saweetie",174,1,0
"318","Ram Pam Pam","Natti Natasha, Becky G",75,13,0
"319","Dandelions","Ruth B.",177,2,"Safe Haven"
"320","Love Tonight - David Guetta Remix Edit","Shouse, David Guetta",178,1,0
"321","Sal y Perrea","Sech",59,14,0
"322","Another One Bites The Dust - Remastered 2011","Queen",36,82,0
"323","Reckless","Madison Beer",85,8,"Reckless"
"324","The Real Slim Shady","Eminem",172,15,0
"325","Baby Me Atende","Matheus Fernandes, Dilsinho",128,10,0
"326","Tell Em","Cochise, $NOT",110,12,0
"327","One Dance","Drake, WizKid, Kyla",12,109,0
"328","Stereo Hearts (feat. Adam Levine)","Gym Class Heroes, Adam Levine",136,16,0
"329","Mi Debilidad","Maria Becerra",199,1,0
"330","Runaway","AURORA",19,21,0
"331","Easy On Me","Adele",1,3,0
"332","Shivers","Ed Sheeran",4,8,0
"333","MONEY","LISA",5,8,"LALISA"
"334","My Universe","Coldplay, BTS",3,6,0
"335","love nwantiti (ah ah ah)","CKay",9,8,"CKay The First"
"336","Moth To A Flame (with The Weeknd)","Swedish House Mafia, The Weeknd",7,2,0
"337","Overpass Graffiti","Ed Sheeran",14,1,0
"338","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay, Dj Yo!, AX'EL",14,7,0
"339","THATS WHAT I WANT","Lil Nas X",3,7,"MONTERO"
"340","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy, Bad Bunny, Julieta Venegas",12,5,0
"341","Meet Me At Our Spot","THE ANXIETY, WILLOW, Tyler Cole",24,9,0
"342","Where Are You Now","Lost Frequencies, Calum Scott",28,9,0
"343","Ghost","Justin Bieber",31,7,"Justice"
"344","Better Days (NEIKED x Mae Muller x Polo G)","NEIKED, Mae Muller, Polo G",32,3,0
"345","Way 2 Sexy (with Future & Young Thug)","Drake, Future, Young Thug",5,9,0
"346","Toxic","BoyWithUke",36,3,"Faded"
"347","Nostálgico","Rvssian, Rauw Alejandro, Chris Brown",40,8,0
"348","Knife Talk (with 21 Savage ft. Project Pat)","Drake, 21 Savage, Project Pat",10,9,0
"349","I Love You So","The Walters",44,4,0
"350","SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)","DJ Snake, Ozuna, Megan Thee Stallion, LISA",41,2,0
"351","Índigo","Camilo, Evaluna Montaner",39,3,0
"352","Fair Trade (with Travis Scott)","Drake, Travis Scott",3,9,0
"353","Praise God","Kanye West",16,8,0
"354","Ley Seca","Jhay Cortez, Anuel AA",44,9,0
"355","2step","Ed Sheeran",57,1,0
"356","Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, JID, Arcane, League of Legends",61,1,0
"357","First Times","Ed Sheeran",62,1,0
"358","When We Were Young","Adele",33,5,0
"359","Rolling in the Deep","Adele",36,5,0
"360","Bored","Billie Eilish",51,6,0
"361","The Feels","TWICE",57,5,0
"362","GHOST TOWN","Benson Boone",72,2,0
"363","Someone Like You","Adele",38,6,0
"364","Coração Cachorro","Avine Vinny, Matheus Fernandes",72,4,0
"365","Happier Than Ever - Edit","Billie Eilish",70,8,0
"366","Visiting Hours","Ed Sheeran",30,5,0
"367","LALISA","LISA",18,8,"LALISA"
"368","Tides","Ed Sheeran",84,1,0
"369","edamame (feat. Rich Brian)","bbno$, Rich Brian",76,11,0
"370","Thriller","Michael Jackson",90,4,0
"371","Love In The Dark","Adele",46,4,0
"372","Acapulco","Jason Derulo",92,4,0
"373","Nuestra Canción","Monsieur Periné, Vicente Garcia",94,2,0
"374","family ties (with Kendrick Lamar)","Baby Keem, Kendrick Lamar",30,10,0
"375","Salimo de Noche","Tiago PZK, Trueno",96,1,0
"376","Arranhão - Ao Vivo","Henrique & Juliano",84,11,0
"377","Jugaste y Sufrí","Eslabon Armado, DannyLux",94,9,0
"378","I GUESS I'M IN LOVE","Clinton Kane",75,11,0
"379","Girls Want Girls (with Lil Baby)","Drake, Lil Baby",2,9,0
"380","Hurricane","Kanye West",5,10,0
"381","The Joker And The Queen","Ed Sheeran",119,1,0
"382","Do It To It","ACRAZE, Cherish",120,1,0
"383","Revoada No Colchão","Zé Felipe, Marcynho Sensação",115,5,0
"384","Collide","Ed Sheeran",127,1,0
"385","Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)","DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan",126,4,0
"386","Leave Your Life","Ed Sheeran",131,1,0
"387","Una Nota","J Balvin, Sech",50,8,0
"388","SEJODIOTO","KAROL G",78,6,0
"389","WFM","RealestK",84,4,"WFM"
"390","Mon Amour - Remix","zzoilo, Aitana",123,9,0
"391","Classic","MKTO",125,5,"MKTO"
"392","GALOPA","PEDRO SAMPAIO",142,1,0
"393","Let Somebody Go","Coldplay, Selena Gomez",28,3,0
"394","Stop The Rain","Ed Sheeran",147,1,0
"395","Sky","Playboi Carti",152,3,0
"396","Like I Can","Sam Smith",55,11,"In The Lonely Hour"
"397","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","Amaarae, Kali Uchis, Moliy",159,1,0
"398","Careless Whisper","George Michael",162,2,0
"399","Love In Slow Motion","Ed Sheeran",166,1,0
"400","masquerade","siouxxie sixxsta",167,3,0
"401","Gangsta's Paradise","Coolio, L.V.",132,10,0
"402","Set Fire to the Rain","Adele",61,4,0
"403","Highway to Hell","AC/DC",152,4,0
"404","Nota de Repúdio - Ao Vivo","Gusttavo Lima",136,6,0
"405","Está Dañada","Ivan Cornejo",90,4,0
"406","Infinity","Jaymes Young",136,3,"Feel Something"
"407","Tell It To My Heart","MEDUZA, Hozier",180,1,0
"408","Bala Love","Mc Anjim, Dj Lv Mdp, DJ PH DA SERRA",120,8,0
"409","Oh Na Na","Camila Cabello, Myke Towers, Tainy",185,1,0
"410","Sexo Virtual","Rauw Alejandro",160,8,0
"411","No Role Modelz","J. Cole",119,22,0
"412","Thunder","Gabry Ponte, LUM!X, Prezioso",185,3,0
"413","Mahvettim","cakal",192,1,0
"414","Wildest Dreams (Taylor's Version)","Taylor Swift",29,7,0
"415","Somebody's Watching Me","Rockwell",196,1,0
"416","...And to Those I Love, Thanks for Sticking Around","$uicideboy$",92,7,0
"417","One Right Now (with The Weeknd)","Post Malone, The Weeknd",9,1,0
"418","ESCAPE PLAN","Travis Scott",13,1,0
"419","Smokin Out The Window","Bruno Mars, Anderson .Paak, Silk Sonic",21,1,0
"420","MAFIA","Travis Scott",29,1,0
"421","No Love (with SZA)","Summer Walker, SZA",63,1,0
"422","Esqueça-Me Se For Capaz","Marília Mendonça, Maiara & Maraisa",67,1,0
"423","Anuel AA: Bzrp Music Sessions, Vol. 46","Bizarrap, Anuel AA",78,1,0
"424","Todo Mundo Menos Você","Marília Mendonça, Maiara & Maraisa",99,1,0
"425","The Motto","Tiësto, Ava Max",104,1,0
"426","All I Want for Christmas Is You","Mariah Carey",1,34,0
"427","Lost in the Fire (feat. The Weeknd)","Gesaffelstein, The Weeknd",12,7,0
"428","Enchanted","Taylor Swift",154,1,0
"429","Yours","JIN",165,1,0
"430","FEEL ME??","Trueno",166,1,0
"431","Blank Space","Taylor Swift",147,6,0
"432","Dictadura","Anuel AA",178,1,0
"433","Una Vaina Loca","Fuego, Manuel Turizo, Duki",198,1,0
