"","track_name","artist_names","peak_rank","weeks_on_chart","album"
"843","Manslaughter (feat. Rick Ross & The-Dream)","Pop Smoke, Rick Ross, The-Dream",150,1,0
"844","Genius (feat. Lil Tjay & Swae Lee)","Pop Smoke, Lil Tjay, Swae Lee",159,1,0
"845","Brush Em (feat. Rah Swish)","Pop Smoke, Rah Swish",180,1,0
"846","Shot in the Dark","John Mayer",193,1,0
"847","a m a r i","J. Cole",10,2,0
"848","SUN GOES DOWN","Lil Nas X",54,1,0
"849","GANG GANG (with Lil Wayne)","Polo G, Lil Wayne",71,1,0
"850","Butter - Instrumental","BTS",95,1,0
"851","Voilà","Barbara Pravi",106,1,0
"852","Saturday","Twenty One Pilots",118,1,0
"853","Boy With Luv (feat. Halsey)","BTS, Halsey",3,44,0
"854","9 5 . s o u t h","J. Cole",18,2,0
"855","Seeing Green (with Drake & Lil Wayne)","Nicki Minaj, Drake, Lil Wayne",67,2,0
"856","Dark Side","Blind Channel",134,1,0
"857","SHUM","Go_A",137,1,0
"858","Straightenin","Migos",84,2,0
"859","l e t . g o . m y . h a n d (with Bas & 6LACK)","J. Cole, Bas, 6LACK",27,2,0
"860","Tout l'univers","Gjon's Tears",195,1,0
"861","Mask","Dream",198,1,0
"862","10 Years","Daði Freyr",199,1,0
"863","Feline (with Polo G & Trippie Redd)","Juice WRLD, Polo G, Trippie Redd",78,1,0
"864","Rockstar In His Prime","Juice WRLD",82,1,0
"865","You Wouldn't Understand","Juice WRLD",99,1,0
"866","Doom","Juice WRLD",109,1,0
"867","Not Enough","Juice WRLD",114,1,0
"868","Go Hard","Juice WRLD",133,1,0
"869","Morad: Bzrp Music Sessions, Vol. 47","Bizarrap, Morad",167,1,0
"870","To Be Loved","Adele",23,2,0
"871","Cry Your Heart Out","Adele",21,2,0
"872","Strangers By Nature","Adele",16,2,0
"873","All Too Well (Taylor's Version)","Taylor Swift",13,3,0
"874","Notion","The Rare Occasions",148,2,0
"875","All Night Parking (with Erroll Garner) Interlude","Adele",30,2,0
"876","feel like shit","Tate McRae",125,3,0
"877","Red (Taylor's Version)","Taylor Swift",11,3,0
"878","abcdefu (angrier)","GAYLE",192,1,0
"879","Die For You","The Weeknd",167,6,0
"880","Linda","Tokischa, ROSALÍA",157,1,0
"881","El Incomprendido","Farruko, Victor Cardenas, Dj Adoni",161,1,0
"882","Your Heart","Joyner Lucas, J. Cole",84,2,0
"883","Till I Collapse","Eminem, Nate Dogg",144,28,0
"884","Teenagers","My Chemical Romance",196,1,0
"885","SCOOP (feat. Doja Cat)","Lil Nas X, Doja Cat",38,2,0
"886","too easy","Gunna, Future",124,1,0
"887","September","Earth, Wind & Fire",132,6,0
"888","Wildest Dreams","Taylor Swift",171,2,"1989"
"889","Floating Through Space","Sia, David Guetta",152,1,0
"890","Can't Feel My Face","The Weeknd",157,4,0
"891","You (with Marshmello & Vance Joy)","benny blanco, Marshmello, Vance Joy",89,2,0
"892","Call Out My Name","The Weeknd",1,35,0
"893","Pressure (feat. Tove Lo)","Martin Garrix, Tove Lo",175,1,0
"894","Agua de Jamaica","Maluma",167,2,0
"895","Heartless","The Weeknd",4,28,0
"896","Gravity (feat. Tyler, The Creator)","Brent Faiyaz, DJ Dahi, Tyler, The Creator",176,1,0
"897","Wasting Time ( feat. Drake & The Neptunes )","Brent Faiyaz, Drake, The Neptunes",101,1,0
"898","Renegade (feat. Taylor Swift)","Big Red Machine, Taylor Swift",132,1,0
"899","Lieben wir","Shirin David",189,1,0
"900","Yebba’s Heartbreak","Drake, Yebba",37,1,0
"901","You Only Live Twice (with Lil Wayne & Rick Ross)","Drake, Lil Wayne, Rick Ross",40,1,0
"902","Get Along Better","Drake, Ty Dolla $ign",42,1,0
"903","F*****g Fans","Drake",50,1,0
"904","The Remorse","Drake",57,1,0
"905","Don't Shut Me Down","ABBA",78,1,0
"906","I Still Have Faith In You","ABBA",118,1,0
"907","HOT DEMON B!TCHES NEAR U ! ! !","CORPSE, Night Lovell",135,1,0
"908","Flocky Flocky (feat. Travis Scott)","Don Toliver, Travis Scott",88,1,0
"909","Red Eye (feat. TroyBoi)","Justin Bieber, TroyBoi",124,1,0
"910","Ptazeta: Bzrp Music Sessions, Vol. 45","Bizarrap, Ptazeta",198,1,0
"911","Not In The Mood (feat. Fivio Foreign & Kay Flock)","Lil Tjay, Fivio Foreign, Kay Flock",149,1,0
"912","Present","Khalid",187,1,0
"913","a p p l y i n g . p r e s s u r e","J. Cole",25,1,0
"914","1 0 0 . m i l ‘ (with Bas)","J. Cole, Bas",30,1,0
"915","p u n c h i n ‘ . t h e . c l o c k","J. Cole",32,1,0
"916","t h e . c l i m b . b a c k","J. Cole",36,2,0
"917","h u n g e r . o n . h i l l s i d e (with Bas)","J. Cole, Bas",48,1,0
"918","c l o s e","J. Cole",55,1,0
"919","DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X, Megan Thee Stallion",50,1,0
"920","DEAD RIGHT NOW","Lil Nas X",57,1,0
"921","TALES OF DOMINICA","Lil Nas X",71,1,0
"922","ONE OF ME (feat. Elton John)","Lil Nas X, Elton John",80,1,0
"923","LOST IN THE CITADEL","Lil Nas X",84,1,0
"924","AM I DREAMING (feat. Miley Cyrus)","Lil Nas X, Miley Cyrus",94,1,0
"925","DONT WANT IT","Lil Nas X",104,1,0
"926","VOID","Lil Nas X",134,1,0
"927","LIFE AFTER SALEM","Lil Nas X",174,1,0
"928","2 Much","Justin Bieber",44,1,0
"929","Deserve You","Justin Bieber",49,1,0
"930","Die For You (feat. Dominic Fike)","Justin Bieber, Dominic Fike",57,1,0
"931","Love You Different (feat. BEAM)","Justin Bieber, BEAM",60,1,0
"932","Loved By You (feat. Burna Boy)","Justin Bieber, Burna Boy",61,1,0
"933","Somebody","Justin Bieber",74,1,0
"934","Tu Veneno","J Balvin",137,1,0
"935","White Dress","Lana Del Rey",152,1,0
"936","Chemtrails Over The Country Club","Lana Del Rey",138,2,0
"937","Coração Na Cama - Ao Vivo","Hugo & Guilherme",181,2,0
"938","Woman Like Me","Adele",33,1,0
"939","Love Is A Game","Adele",43,1,0
"940","I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)","Taylor Swift, Chris Stapleton",41,2,0
"941","Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)","Taylor Swift, Phoebe Bridgers",27,2,0
"942","I Knew You Were Trouble (Taylor's Version)","Taylor Swift",21,2,0
"943","∞ LOVE (feat. Guè)","Marracash, Guè",135,1,0
"944","Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift, Ed Sheeran",33,2,0
"945","Ela me Falou Que Quer Rave","MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",157,2,0
"946","State Of Grace (Taylor's Version)","Taylor Swift",31,2,0
"947","22 (Taylor's Version)","Taylor Swift",30,2,0
"948","Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",49,2,0
"949","We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",39,1,0
"950","Treacherous (Taylor's Version)","Taylor Swift",42,1,0
"951","Better Man (Taylor's Version) (From The Vault)","Taylor Swift",50,1,0
"952","I Almost Do (Taylor's Version)","Taylor Swift",51,1,0
"953","Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift, Ed Sheeran",54,1,0
"954","The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift, Gary Lightbody",58,1,0
"955","Stay Stay Stay (Taylor's Version)","Taylor Swift",59,1,0
"956","The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift",62,1,0
"957","Babe (Taylor's Version) (From The Vault)","Taylor Swift",68,1,0
"958","Holy Ground (Taylor's Version)","Taylor Swift",70,1,0
"959","Begin Again (Taylor's Version)","Taylor Swift",73,1,0
"960","Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift",78,1,0
"961","The Lucky One (Taylor's Version)","Taylor Swift",80,1,0
"962","Sad Beautiful Tragic (Taylor's Version)","Taylor Swift",81,1,0
"963","Come Back...Be Here (Taylor's Version)","Taylor Swift",83,1,0
"964","The Moment I Knew (Taylor's Version)","Taylor Swift",86,1,0
"965","Starlight (Taylor's Version)","Taylor Swift",87,1,0
"966","Blast Off","Bruno Mars, Anderson .Paak, Silk Sonic",94,1,0
"967","Girl At Home (Taylor's Version)","Taylor Swift",105,1,0
"968","Fly As Me","Bruno Mars, Anderson .Paak, Silk Sonic",109,1,0
"969","After Last Night (with Thundercat & Bootsy Collins)","Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",113,1,0
"970","State Of Grace (Acoustic Version) (Taylor's Version)","Taylor Swift",127,1,0
"971","Put On A Smile","Bruno Mars, Anderson .Paak, Silk Sonic",136,1,0
"972","Ronan (Taylor's Version)","Taylor Swift",146,1,0
"973","777","Bruno Mars, Anderson .Paak, Silk Sonic",168,1,0
"974","exile (feat. Bon Iver)","Taylor Swift, Bon Iver",4,10,0
"975","SCIENTIST","TWICE",195,1,0
"976","Don't Play","Anne-Marie, KSI, Digital Farm Animals",177,1,0
"977","Buss It","Erica Banks",191,1,"Buss It"
"978","Oxytocin","Billie Eilish",35,1,0
"979","Getting Older","Billie Eilish",38,1,0
"980","Billie Bossa Nova","Billie Eilish",43,1,0
"981","I Didn't Change My Number","Billie Eilish",49,1,0
"982","my future","Billie Eilish",5,13,0
"983","Halley's Comet","Billie Eilish",67,1,0
"984","GOLDWING","Billie Eilish",75,1,0
"985","Male Fantasy","Billie Eilish",87,1,0
"986","OverHeated","Billie Eilish",106,1,0
"987","Everybody Dies","Billie Eilish",116,1,0
"988","Not My Responsibility","Billie Eilish",120,1,0
"989","Se Me Olvidó","Gera MX, Rels B",158,1,0
"990","Dámelo To’ (feat. Myke Towers)","Selena Gomez, Myke Towers",109,1,0
"991","Patience (feat. YUNGBLUD & Polo G)","KSI, YUNGBLUD, Polo G",121,1,0
"992","DAYWALKER! (feat. CORPSE)","Machine Gun Kelly, CORPSE",168,1,0
"993","To the Bone","Pamungkas",198,1,"Flying Solo"
"994","LOST","NF, Hopsin",200,1,0
"995","Black Hearted","Polo G",106,1,0
"996","Lost","Maroon 5",124,1,0
"997","Avalanche","Migos",128,1,0
"998","Malibu (feat. Polo G)","Migos, Polo G",166,1,0
"999","Clueless (with Pop Smoke & Fivio Foreign)","Polo G, Pop Smoke, Fivio Foreign",179,1,0
"1000","Modern Day","Migos",181,1,0
"1001","Painting Pictures","Polo G",195,1,0
"1002","CORALINE","Måneskin",127,1,0
"1003","Killer (feat. Jack Harlow & Cordae) - Remix","Eminem, Jack Harlow, Cordae",170,1,0
"1004","734","Juice WRLD",175,1,0
"1005","Vida Louca","Mc Poze do Rodo, Neo Beats, Mainstreet",200,1,0
"1006","Lose","KSI, Lil Wayne",107,1,0
"1007","SUVs (Black on Black)","Jack Harlow, Pooh Shiesty",113,1,0
"1008","Love Runs Out (feat. G-Eazy & Sasha Alex Sloan)","Martin Garrix, G-Eazy, Sasha Alex Sloan",162,1,0
"1009","You Belong With Me (Taylor’s Version)","Taylor Swift",52,1,0
"1010","Fearless (Taylor’s Version)","Taylor Swift",54,1,0
"1011","X Gon' Give It To Ya","DMX",68,1,0
"1012","Fifteen (Taylor’s Version)","Taylor Swift",80,1,0
"1013","The Way I Loved You (Taylor’s Version)","Taylor Swift",84,1,0
"1014","Hey Stephen (Taylor’s Version)","Taylor Swift",93,1,0
"1015","White Horse (Taylor’s Version)","Taylor Swift",102,1,0
"1016","Forever & Always (Taylor’s Version)","Taylor Swift",114,1,0
"1017","Breathe (feat. Colbie Caillat) (Taylor’s Version)","Taylor Swift, Colbie Caillat",119,1,0
"1018","Ruff Ryders' Anthem","DMX",139,1,0
"1019","That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)","Taylor Swift, Keith Urban",146,1,0
"1020","Tell Me Why (Taylor’s Version)","Taylor Swift",147,1,0
"1021","You’re Not Sorry (Taylor’s Version)","Taylor Swift",148,1,0
"1022","Don’t You (Taylor’s Version) (From The Vault)","Taylor Swift",192,1,0
"1023","We Were Happy (Taylor’s Version) (From The Vault)","Taylor Swift",195,1,0
"1024","Richer (feat. Polo G)","Rod Wave, Polo G",118,1,0
"1025","Girls Like Us","Zoe Wees",181,1,0
"1026","Come Through (feat. Chris Brown)","H.E.R., Chris Brown",150,1,0
"1027","Good Without","Mimi Webb",193,1,0
"1028","When I Was Your Man","Bruno Mars",197,1,0
"1029","Hats Off (feat. Travis Scott)","Lil Baby, Lil Durk, Travis Scott",97,1,0
"1030","Last Train Home","John Mayer",117,1,0
"1031","Voice of the Heroes","Lil Baby, Lil Durk",126,1,0
"1032","0X1=LOVESONG (I Know I Love You) feat. Seori","TOMORROW X TOGETHER",134,1,0
"1033","Heat Waves","Glass Animals",1,65,"Heat Waves"
"1034","Heat Waves","Glass Animals",1,65,"Dreamland (+ Bonus Levels)"
"1035","STAY (with Justin Bieber)","The Kid LAROI, Justin Bieber",1,37,0
"1036","Envolver","Anitta",3,3,"Envolver"
"1037","Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons, JID, Arcane, League of Legends",3,21,0
"1038","abcdefu","GAYLE",1,19,"abcdefu"
"1039","Cold Heart - PNAU Remix","Elton John, Dua Lipa, PNAU",4,32,0
"1040","MAMIII","Becky G, KAROL G",5,6,0
"1041","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow",2,35,0
"1042","Desesperados","Rauw Alejandro, Chencho Corleone",8,15,0
"1043","Shivers","Ed Sheeran",4,28,0
"1044","Woman","Doja Cat",6,37,"Planet Her"
"1045","Easy On Me","Adele",1,23,0
"1046","Ghost","Justin Bieber",11,27,"Justice"
"1047","Bam Bam (feat. Ed Sheeran)","Camila Cabello, Ed Sheeran",13,3,0
"1048","MIDDLE OF THE NIGHT","Elley Duhé",14,13,"MIDDLE OF THE NIGHT"
"1049","Una Noche en Medellín","Cris Mj",16,4,0
"1050","THATS WHAT I WANT","Lil Nas X",3,27,"MONTERO"
"1051","Where Are You Now","Lost Frequencies, Calum Scott",18,29,0
"1052","Boyfriend","Dove Cameron",11,6,0
"1053","Bad Habits","Ed Sheeran",3,39,"Bad Habits"
"1054","Infinity","Jaymes Young",11,21,"Feel Something"
"1055","Pepas","Farruko",4,37,"Pepas"
"1056","The Motto","Tiësto, Ava Max",23,20,0
"1057","good 4 u","Olivia Rodrigo",1,45,"good 4 u"
"1058","good 4 u","Olivia Rodrigo",1,45,"SOUR"
"1059","My Universe","Coldplay, BTS",3,26,0
"1060","I Love You So","The Walters",21,24,0
"1061","Blinding Lights","The Weeknd",1,121,"After Hours"
"1062","Blinding Lights","The Weeknd",1,121,"Blinding Lights"
"1063","Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","Tainy, Bad Bunny, Julieta Venegas",12,25,0
"1064","Sweetest Pie","Megan Thee Stallion, Dua Lipa",17,2,0
"1065","Something In The Way","Nirvana",19,3,0
"1066","Another Love","Tom Odell",31,50,"Long Way Down (Deluxe)"
"1067","Do It To It","ACRAZE, Cherish",9,21,0
"1068","Sweater Weather","The Neighbourhood",29,82,"I Love You."
"1069","Yonaguni","Bad Bunny",3,42,0
"1070","Need to Know","Doja Cat",6,41,"Planet Her"
"1071","Dandelions","Ruth B.",35,32,"Safe Haven"
"1072","We Don't Talk About Bruno","Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",8,13,0
"1073","Kiss Me More (feat. SZA)","Doja Cat, SZA",3,50,0
"1074","MANIAC","Stray Kids",39,1,0
"1075","Light Switch","Charlie Puth",19,9,"Light Switch (Instrumental)"
"1076","Levitating (feat. DaBaby)","Dua Lipa, DaBaby",4,77,0
"1077","traitor","Olivia Rodrigo",7,44,0
"1078","Save Your Tears (Remix) (with Ariana Grande) - Bonus Track","The Weeknd, Ariana Grande",5,48,0
"1079","CANDY","ROSALÍA",44,1,0
"1080","Starlight","Dave",45,3,0
"1081","Softcore","The Neighbourhood",35,11,0
"1082","MONTERO (Call Me By Your Name)","Lil Nas X",1,52,"MONTERO (Call Me By Your Name)"
"1083","DANÇARINA","PEDRO SAMPAIO, Mc Pedrinho",32,5,0
"1084","Without Me","Eminem",31,26,0
"1085","Medallo","Blessd, Justin Quiles, Lenny Tavárez",48,18,0
"1086","Butter","BTS",2,44,"Butter (Hotter, Sweeter, Cooler)"
"1087","Mount Everest","Labrinth",36,7,0
"1088","Jordan","Ryan Castro",53,4,0
"1089","Save Your Tears","The Weeknd",2,68,"After Hours"
"1090","drivers license","Olivia Rodrigo",1,63,"SOUR"
"1091","drivers license","Olivia Rodrigo",1,63,"drivers license"
"1092","LA FAMA (with The Weeknd)","ROSALÍA, The Weeknd",32,15,0
"1093","505","Arctic Monkeys",57,12,0
"1094","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",58,8,0
"1095","DÁKITI","Bad Bunny, Jhay Cortez",1,73,0
"1096","Tacones Rojos","Sebastian Yatra",45,18,0
"1097","Cool for the Summer","Demi Lovato",61,1,0
"1098","Mon Amour - Remix","zzoilo, Aitana",34,29,0
"1099","Bones","Imagine Dragons",63,2,0
"1100","Yo Voy (feat. Daddy Yankee)","Zion & Lennox",63,5,0
"1101","ARASAN DA","UZI",65,1,0
"1102","Happier Than Ever","Billie Eilish",6,34,0
"1103","she's all i wanna be","Tate McRae",38,7,0
"1104","pushin P (feat. Young Thug)","Gunna, Future, Young Thug",14,11,0
"1105","Beggin'","Måneskin",1,42,"Chosen"
"1106","Toxic","BoyWithUke",23,23,"Faded"
"1107","love nwantiti (ah ah ah)","CKay",9,28,"CKay The First"
"1108","maybe (feat. Bring Me The Horizon)","Machine Gun Kelly, Bring Me The Horizon",72,1,0
"1109","Watermelon Sugar","Harry Styles",4,123,0
"1110","IDGAF (with blackbear)","BoyWithUke, blackbear",74,1,0
"1111","Chale","Eden Muñoz",75,3,0
"1112","Lost","Frank Ocean",50,10,"channel ORANGE"
"1113","Sometimes","Juice WRLD",77,1,0
"1114","Hati-Hati di Jalan","Tulus",45,3,0
"1115","Numb Little Bug","Em Beihold",69,8,0
"1116","The Real Slim Shady","Eminem",51,42,0
"1117","A Tu Merced","Bad Bunny",52,19,0
"1118","SAOKO","ROSALÍA",80,2,0
"1119","Volví","Aventura, Bad Bunny",10,34,0
"1120","One Right Now (with The Weeknd)","Post Malone, The Weeknd",9,20,0
"1121","Don't Start Now","Dua Lipa",2,125,"Don't Start Now"
"1122","deja vu","Olivia Rodrigo",3,51,"SOUR"
"1123","Todo De Ti","Rauw Alejandro",2,44,"Todo De Ti"
"1124","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, Giveon",1,53,0
"1125","Oh My God","Adele",3,18,0
"1126","Tom's Diner","AnnenMayKantereit, Giant Rooks",90,1,0
"1127","Super Gremlin","Kodak Black",45,15,0
"1128","Believer","Imagine Dragons",16,268,0
"1129","Fingers Crossed","Lauren Spencer Smith",17,11,0
"1130","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",1,179,0
"1131","Notion","The Rare Occasions",67,11,0
"1132","Dark Red","Steve Lacy",66,33,0
"1133","Moth To A Flame (with The Weeknd)","Swedish House Mafia, The Weeknd",7,22,0
"1134","TO THE MOON","Jnr Choi, Sam Tompkins",55,11,0
"1135","Pantysito","Alejo, Feid, ROBI",99,1,0
"1136","Dynamite","BTS",2,83,0
"1137","Still D.R.E.","Dr. Dre, Snoop Dogg",29,6,0
"1138","Lose Yourself - From ""8 Mile"" Soundtrack","Eminem",44,66,0
"1139","lovely (with Khalid)","Billie Eilish, Khalid",24,205,0
"1140","All For Us","Labrinth, Zendaya",43,11,0
"1141","I’m Tired (with Zendaya) - Bonus Track","Labrinth, Zendaya",29,4,0
"1142","Plan A","Paulo Londra",106,1,0
"1143","Someone You Loved","Lewis Capaldi",4,168,0
"1144","MONEY","LISA",5,28,"LALISA"
"1145","You Right","Doja Cat, The Weeknd",15,39,0
"1146","Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago PZK",37,12,0
"1147","Yellow","Coldplay",101,66,0
"1148","La Santa","Bad Bunny, Daddy Yankee",14,23,0
"1149","Nail Tech","Jack Harlow",36,5,0
"1150","Malvadão 3","Xamã, Gustah, Neo Beats",33,13,0
"1151","No Role Modelz","J. Cole",113,35,0
"1152","Revenge","XXXTENTACION",63,12,0
"1153","Formula","Labrinth",68,10,0
"1154","DARARI","TREASURE",102,4,0
"1155","Freaks","Surf Curse",55,47,"Freaks"
"1156","Knife Talk (with 21 Savage ft. Project Pat)","Drake, 21 Savage, Project Pat",10,29,0
"1157","Mujeriego","Ryan Castro",92,8,0
"1158","Fuera del mercado","Danny Ocean",122,1,0
"1159","sentaDONA (Remix) s2","Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza",123,1,0
"1160","Ya No Somos Ni Seremos","Christian Nodal",37,5,0
"1161","Volando - Remix","Mora, Bad Bunny, Sech",19,37,0
"1162","Counting Stars","OneRepublic",117,54,0
"1163","Demasiadas Mujeres","C. Tangana",127,3,0
"1164","Smells Like Teen Spirit","Nirvana",109,63,0
"1165","Unstoppable","Sia",112,6,0
"1166","Blank Space","Taylor Swift",130,20,0
"1167","Down Under (feat. Colin Hay)","Luude, Colin Hay",72,10,0
"1168","Daddy Issues","The Neighbourhood",99,76,0
"1169","Locked out of Heaven","Bruno Mars",111,12,0
"1170","Till I Collapse","Eminem, Nate Dogg",81,39,0
"1171","Sacrifice","The Weeknd",3,11,0
"1172","Payphone","Maroon 5, Wiz Khalifa",136,14,0
"1173","LA CANCIÓN","J Balvin, Bad Bunny",17,64,0
"1174","Wait a Minute!","WILLOW",138,1,"ARDIPITHECUS"
"1175","Thinking with My Dick (feat. Juicy J)","Kevin Gates, Juicy J",128,2,0
"1176","Shape of You","Ed Sheeran",1,269,0
"1177","The Nights","Avicii",44,54,0
"1178","Gangsta's Paradise","Coolio, L.V.",116,22,0
"1179","Surface Pressure - From ""Encanto""/Soundtrack Version","Jessica Darrow",23,12,0
"1180","Riptide","Vance Joy",122,64,0
"1181","Get Into It (Yuh)","Doja Cat",36,34,0
"1182","Better Days (NEIKED x Mae Muller x Polo G)","NEIKED, Mae Muller, Polo G",32,23,0
"1183","Bohemian Rhapsody - Remastered 2011","Queen",11,182,0
"1184","No Lie","Sean Paul, Dua Lipa",80,34,0
"1185","Malvada","Zé Felipe",58,7,0
"1186","Don't Be Shy","Tiësto, KAROL G",38,32,0
"1187","Perfect","Ed Sheeran",4,262,0
"1188","CHICKEN TERIYAKI","ROSALÍA",152,1,0
"1189","One Dance","Drake, WizKid, Kyla",12,120,0
"1190","Nostálgico","Rvssian, Rauw Alejandro, Chris Brown",40,28,0
"1191","Mood (feat. iann dior)","24kGoldn, iann dior",1,85,0
"1192","Mr. Brightside","The Killers",98,87,0
"1193","Nobody Like U","4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Topher Ngo, Grayson Villanueva, Josh Levi",157,1,0
"1194","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1,19,0
"1195","Circles","Post Malone",1,134,0
"1196","La Zona","Bad Bunny",60,7,0
"1197","Take Me To Church","Hozier",108,75,0
"1198","Heather","Conan Gray",12,87,0
"1199","In Da Club","50 Cent",77,6,0
"1200","Mal Feito - Ao Vivo","Hugo & Guilherme, Marília Mendonça",72,10,0
"1201","Just a Cloud Away","Pharrell Williams",165,1,0
"1202","this is what falling in love feels like","JVKE",142,3,0
"1203","Dance Monkey","Tones And I",1,140,0
"1204","happier","Olivia Rodrigo",12,44,"SOUR"
"1205","Hope","XXXTENTACION",42,35,0
"1206","Se Le Ve","Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",110,12,0
"1207","Meet Me At Our Spot","THE ANXIETY, WILLOW, Tyler Cole",24,29,0
"1208","Wake Me Up","Avicii",13,68,0
"1209","Residente: Bzrp Music Sessions, Vol. 49","Bizarrap, Residente",18,3,0
"1210","love nwantiti (feat. Dj Yo! & AX'EL) - Remix","CKay, Dj Yo!, AX'EL",14,27,0
"1211","Freaky Deaky","Tyga, Doja Cat",83,4,0
"1212","Excuses","AP Dhillon, Gurinder Gill, Intense",56,10,0
"1213","Why'd You Only Call Me When You're High?","Arctic Monkeys",104,33,0
"1214","Lucid Dreams","Juice WRLD",3,194,0
"1215","Lost in the Fire (feat. The Weeknd)","Gesaffelstein, The Weeknd",12,21,0
"1216","BIZCOCHITO","ROSALÍA",180,1,0
"1217","Godzilla (feat. Juice WRLD)","Eminem, Juice WRLD",4,76,0
"1218","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",149,22,0
"1219","positions","Ariana Grande",1,74,"Positions"
"1220","positions","Ariana Grande",1,74,"positions"
"1221","Monëy so big","Yeat",184,3,0
"1222","Talking to the Moon","Bruno Mars",45,50,"Doo-Wops & Hooligans"
"1223","HENTAI","ROSALÍA",186,1,0
"1224","Ain't Shit","Doja Cat",22,21,"Planet Her"
"1225","Leave The Door Open","Bruno Mars, Anderson .Paak, Silk Sonic",5,55,0
"1226","TOMBOY","(G)I-DLE",189,1,0
"1227","Something Just Like This","The Chainsmokers, Coldplay",2,172,0
"1228","Thunder","Gabry Ponte, LUM!X, Prezioso",110,16,0
"1229","Levitating","Dua Lipa",52,38,"Future Nostalgia"
"1230","Do I Wanna Know?","Arctic Monkeys",117,34,0
"1231","ABALO EMOCIONAL - Ao Vivo","Luan Santana",194,1,0
"1232","Señorita","Shawn Mendes, Camila Cabello",1,138,0
"1233","Stan","Eminem, Dido",138,6,0
"1234","Before You Go","Lewis Capaldi",19,122,0
"1235","Space Song","Beach House",174,10,0
"1236","Say You Won't Let Go","James Arthur",7,268,0
"1237","Streets","Doja Cat",9,45,0
"1238","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",1,5,0
"1239","As It Was","Harry Styles",1,19,"As It Was"
"1240","Me Porto Bonito","Bad Bunny, Chencho Corleone",2,14,0
"1241","Tití Me Preguntó","Bad Bunny",4,14,0
"1242","Running Up That Hill (A Deal With God)","Kate Bush",1,11,"Hounds Of Love"
"1243","DESPECHÁ","ROSALÍA",6,2,0
"1244","Efecto","Bad Bunny",7,14,0
"1245","Glimpse of Us","Joji",1,9,"Glimpse of Us"
"1246","Ojitos Lindos","Bad Bunny, Bomba Estéreo",3,14,0
"1247","Bad Habit","Steve Lacy",10,5,"Gemini Rights"
"1248","Moscow Mule","Bad Bunny",2,14,0
"1249","La Bachata","Manuel Turizo",13,6,0
"1250","PROVENZA","KAROL G",6,16,0
"1251","Bad Decisions (with BTS & Snoop Dogg)","benny blanco, BTS, Snoop Dogg",15,1,0
"1252","I Ain't Worried","OneRepublic",13,10,0
"1253","Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, Jung Kook, BTS",7,7,0
"1254","Doja","Central Cee",15,3,0
"1255","BREAK MY SOUL","Beyoncé",12,8,0
"1256","About Damn Time","Lizzo",9,15,"About Damn Time"
"1257","STAYING ALIVE (feat. Drake & Lil Baby)","DJ Khaled, Drake, Lil Baby",21,1,0
"1258","Tarot","Bad Bunny, Jhay Cortez",9,14,0
"1259","Te Felicito","Shakira, Rauw Alejandro",13,16,0
"1260","SNAP","Rosa Linn",26,5,"SNAP"
"1261","Late Night Talking","Harry Styles",2,12,"Harry's House"
