title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Down Under (feat. Colin Hay)","Luude, Colin Hay","Down Under (feat. Colin Hay)",AUDCB1701966,spotify,7AVyve7cFYTd51ha5i9kE2,159s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
"Every Summertime",NIKI,"Every Summertime",USUM72114018,spotify,68HocO7fx9z0MgDU0ZPHro,216s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
"You Don't Know",Meric,"You Don't Know",QM6MZ2230375,spotify,3TLqDeavInn7oupPl25pQs,210s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3TLqDeavInn7oupPl25pQs
"Don't Go Yet","Camila Cabello","Don't Go Yet",USSM12104771,spotify,1058fW9H3fZA6QjYCdOBad,165s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
Infinity,"Jaymes Young","Feel Something",USAT21700859,spotify,1SOClUWhOi8vHZYMz3GluK,238s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
"Better Days (NEIKED x Mae Muller x Polo G)","NEIKED, Mae Muller, Polo G","Better Days (NEIKED x Mae Muller x Polo G)",GBUM72106057,spotify,6f5ExP43esnvdKPddwKXJH,161s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
meant2be,"Adriel Rivera",meant2be,QM4TX2219398,spotify,4p7lZKevlvvbFg6T0H2V8J,118s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4p7lZKevlvvbFg6T0H2V8J
"she's all i wanna be","Tate McRae","she's all i wanna be",USRC12103120,spotify,0IuVhCflrQPMGRrOyoY5RW,207s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
"edamame (feat. Rich Brian)","bbno$, Rich Brian","edamame (feat. Rich Brian)",QMUY42100151,spotify,1uMHCAyGmHqyygoNRuo7MV,134s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV
"LA FAMA (with The Weeknd)","ROSALÍA, The Weeknd","LA FAMA (with The Weeknd)",USSM12107750,spotify,6dmXZ9B5HdFAyzHeTneYBK,188s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
"Lost in Life","Rival, JAMICA, Costa Leon","Lost in Life",QM4TW2236158,spotify,74yhbLEMzWSZAUqHMt2auS,187s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/74yhbLEMzWSZAUqHMt2auS
Acapulco,"Jason Derulo",Acapulco,USAT22102812,spotify,3eJH2nAjvNXdmPfBkALiPZ,140s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
"Love Mazing",Meric,"Love Mazing",QM4TW2283942,spotify,4SdaSFibhei8B8dkCpVx3E,237s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4SdaSFibhei8B8dkCpVx3E
"Need to Know","Doja Cat","Planet Her",USRC12101120,spotify,3Vi5XqYrmQgOYBajMWSvCi,211s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
"Meet Me At Our Spot","THE ANXIETY, WILLOW, Tyler Cole","THE ANXIETY",QMJMT2002693,spotify,07MDkzWARZaLEdKxo6yArG,163s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)","Amaarae, Kali Uchis, Moliy","SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",US23A1540104,spotify,09gysnJpfQ3ublBmJDfcEC,205s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
"Have Fun Alone","Cadmium, Dylan Rouda","Have Fun Alone",QMFMF2116670,spotify,0FBTownKLp8Pfc1jmMBPew,179s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0FBTownKLp8Pfc1jmMBPew
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby","Future Nostalgia",GBAHT2000942,spotify,5nujrmhLynf4yMoMtj8AQF,203s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
