title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Astronaut In The Ocean","Masked Wolf","Astronaut In The Ocean",USAT22100017,spotify,3Ofmpyhv5UAQ70mENzB277,133s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
MONEY,LISA,LALISA,KRA402100099,spotify,7hU3IHwjX150XLoTVmjD0q,168s,"2021-10-04 14:30",nick170708!,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
"Levitating (feat. DaBaby)","Dua Lipa, DaBaby","Levitating (feat. DaBaby)",GBAHT2000942,spotify,463CkQjx2Zk1yXoBuierM9,203s,"2021-05-18 16:45",nick170708!,https://open.spotify.com/track/463CkQjx2Zk1yXoBuierM9
positions,"Ariana Grande",Positions,USUM72019412,spotify,35mvY5S1H3J2QZyna3TFe0,172s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
"Build a Bitch","Bella Poarch","Build a Bitch",USWB12101016,spotify,7BoobGhD4x5K96Me0hqC8Q,123s,"2021-06-08 17:35",nick170708!,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift","Red (Taylor's Version)",USUG12103690,spotify,5enxwA8aAbwZbf5qCHORXi,613s,"2021-12-02 01:47",nick170708!,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
traitor,"Olivia Rodrigo",SOUR,USUG12101243,spotify,5CZ40GBx1sQ9agT82CLQCT,229s,"2022-08-28 21:58",nick170708!,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
Streets,"Doja Cat","Hot Pink",USRC11903460,spotify,60ynsPSSKe6O3sfwRnIBRf,227s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
Up,"Cardi B",Up,USAT22100061,spotify,1XXimziG1uhM0eDNCZCrUl,157s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/1XXimziG1uhM0eDNCZCrUl
DÁKITI,"Bad Bunny, Jhay Cortez","EL ÚLTIMO TOUR DEL MUNDO",QMFME2004132,spotify,4MzXwWMhyBbmu6hOcLVD49,205s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
"Todo De Ti","Rauw Alejandro","Todo De Ti",USSD12100202,spotify,4fSIb4hdOQ151TILNsSEaF,200s,"2021-06-08 17:35",nick170708!,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
"Baila Conmigo (with Rauw Alejandro)","Selena Gomez, Rauw Alejandro","Revelación - EP",USUG12100193,spotify,079Ey5uxL04AKPQgVQwx5h,186s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
"Solar Power",Lorde,"Solar Power",NZUM72100178,spotify,3KdoeNlEN0BoAKWzaRLNZa,193s,"2021-06-13 18:05",nick170708!,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
"late at night","Roddy Ricch","late at night",USAT22102236,spotify,1fxYz1s15pyZLsJT0Hdh1m,175s,"2022-08-27 16:17",nick170708!,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
"Need to Know","Doja Cat","Need to Know",USRC12101120,spotify,10hcDov7xmcRviA8jLwEaI,211s,"2021-06-13 18:05",nick170708!,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
Shivers,"Ed Sheeran",Shivers,GBAHS2100671,spotify,75MNhvTCCKsST3YqqUiU9r,208s,"2021-10-04 14:30",nick170708!,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r
"WITHOUT YOU (with Miley Cyrus)","The Kid LAROI, Miley Cyrus","WITHOUT YOU (with Miley Cyrus)",USSM12101722,spotify,1EHUQesfVKwbthtNcpBi9g,161s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/1EHUQesfVKwbthtNcpBi9g
Anyone,"Justin Bieber",Anyone,USUM72023175,spotify,31qCy5ZaophVA81wtlwLc4,191s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
"Calling My Phone","Lil Tjay, 6LACK","Destined 2 Win",USSM12100388,spotify,3J8EOeKLTLXORtWPpOU5bE,205s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
RAPSTAR,"Polo G","Hall of Fame",USSM12101640,spotify,18vXApRmJSgQ6wG2ll9AOg,166s,"2022-07-28 23:26",nick170708!,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
"Girls Want Girls (with Lil Baby)","Drake, Lil Baby","Certified Lover Boy",USUG12104399,spotify,37Nqx7iavZpotJSDXZWbJ3,222s,"2021-09-20 05:13",nick170708!,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
"love nwantiti (ah ah ah)",CKay,"CKay The First",QMEU31910213,spotify,2Xr1dTzJee307rmrkt8c0g,146s,"2021-10-04 14:30",nick170708!,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
"We're Good","Dua Lipa","Future Nostalgia (The Moonlight Edition)",GBAHT2001117,spotify,1diS6nkxMQc3wwC4G1j0bh,166s,"2021-05-18 16:46",nick170708!,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
willow,"Taylor Swift",evermore,USUG12004699,spotify,0lx2cLdOt3piJbcaXIV74f,215s,"2021-05-18 16:47",nick170708!,https://open.spotify.com/track/0lx2cLdOt3piJbcaXIV74f
"Mood (feat. iann dior)","24kGoldn, iann dior","El Dorado",USQX92003025,spotify,4jPy3l0RUwlUI9T5XHBW2m,141s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
BICHOTA,"KAROL G",BICHOTA,USUM72019324,spotify,7vrJn5hDSXRmdXoR30KgF1,179s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
"Hold On","Justin Bieber","Hold On",USUM72102322,spotify,4u4NyuceXP7Uzh7XFJKCr1,171s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
"Love Story (Taylor’s Version)","Taylor Swift","Love Story (Taylor’s Version)",USUG12100342,spotify,3CeCwYWvdfXbZLXFhBrbnf,236s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/3CeCwYWvdfXbZLXFhBrbnf
Whoopty,CJ,Whoopty,USA2P2031043,spotify,5vGLcdRuSbUhD8ScwsGSdA,123s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
Bandido,"Myke Towers, Juhn",Bandido,QMFME2047291,spotify,1xK1Gg9SxG8fy2Ya373oqb,233s,"2021-05-18 16:48",nick170708!,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
